CMS,Component,Sub-component,Padding start,Variable,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID,Comments,,,
ct quote + text carousel,ct quote + text carousel (variant 1),quote container,left,?,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 1),quote container,right,?,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 1),quote container,bottom,Padding C,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 1),quote source,bottom,Padding E,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 2),quote container,top,Padding B,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 2),quote container,left,?,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 2),quote container,right,?,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 2),quote container,bottom,Padding C,,,,,,,,,,,,,,,,,
ct quote + text carousel,ct quote + text carousel (variant 2),quote source,bottom,Padding E,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 1),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 1),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 1),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 1),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 2),ct text half left,top,Padding A,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 2),ct text half left,bottom,Padding A,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 2),ct text half left,left,?,,,,,,,,,,,,,,,,,
ct text + video,ct text + video (variant 2),ct text half left,right,?,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 1),ct text half right,top,Padding A,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 1),ct text half right,bottom,Padding A,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 1),ct text half right,left,?,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 1),ct text half right,right,?,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 2),ct text half right,top,Padding A,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 2),ct text half right,bottom,Padding A,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 2),ct text half right,left,?,,,,,,,,,,,,,,,,,
ct video + text,ct video + text (variant 2),ct text half right,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - read more icon,top,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - read more icon,bottom,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 1) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 2) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 2) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 2) - text box,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 2) - name,bottom,Padding G,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - name,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - name,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - name,right,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - description box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - description box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - description box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - description box,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - read more icon,left,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 1),card (variant 3) - read more icon,right,?,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - text box,top,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - text box,bottom,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - text box,left,Padding E,,,,,,,,,,,,,,,,,
profiles carousel,profiles carousel (variant 2),card (variant 1) - text box,right,Padding E,,,,,,,,,,,,,,,,,
