"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
featured text b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct full-width image with left text,ct full-width image with text left - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with left text,ct full-width image with text left - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct full-width image with right text,ct full-width image with text right - copy,copy on dark - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct full-width image with right text,ct full-width image with text right - copy,copy on dark - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + video,ct text + video (variant 1) (left) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 1) (left) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct video + text,ct text + video (variant 1) (right) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 1) (right) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + video,ct text + video (variant 2) (left) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + video,ct text + video (variant 2) (left) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct video + text,ct text + video (variant 2) (right) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct video + text,ct text + video (variant 2) (right) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 1) (left) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 1) (right) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + image carousel,ct text + image carousel (variant 2) (left) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2b,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - ordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button b,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - primary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
quote a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - quote - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - secondary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - table - td text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a (bold),ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - table - th text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - tertiary button - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct image carousel + text,ct text + image carousel (variant 2) (right) - copy,copy on light - unordered list - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + events,ct text + events (left) - copy,copy on dark - body text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured paragraph b,ct text + events,ct text + events (left) - copy,copy on dark - featured paragraph (inline),Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
featured text b,ct text + events,ct text + events (left) - copy,copy on dark - featured text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,ct text + events,ct text + events (left) - copy,copy on dark - h2,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 3b,ct text + events,ct text + events (left) - copy,copy on dark - h3,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 4b,ct text + events,ct text + events (left) - copy,copy on dark - h4,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
inline link b,ct text + events,ct text + events (left) - copy,copy on dark - link - text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
