"Step 1: Create a test page with as many widgets from the ""CMS"" column as possible",,,,,,,,,,,,,,,,,
"Step 2: Change a variable from the ""Variable"" column and test all relevant components on the test page",,,,,,,,,,,,,,,,,
Step 3: Repeat step 2 with a different variable/variant,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Variable,CMS,Component,Sub-component,320px,375px,>375px & <1440px,1440px,>1440px & < 2560px,2560px,2560px+,Primary browser,Secondary browser,Secondary size,Mobile,Tablet,BugHerd ID(s),Comments
body copy a,ct cards + text,ct cards half (left),card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct cards + text,ct cards half (left),card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + cards,ct cards half (right),card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct text + cards,ct cards half (right),card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + cards,ct cards half (right),card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + cards,ct cards half (right),card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + cards,ct cards half (right),card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + cards,ct cards half (right),card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards grid,cards grid - card,card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,cards grid,cards grid - card,card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,cards grid,cards grid - card,card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards grid,cards grid - card,card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards grid,cards grid - card,card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards grid,cards grid - card,card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards carousel,cards carousel (variant 1) - card,card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,cards carousel,cards carousel (variant 1) - card,card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,cards carousel,cards carousel (variant 1) - card,card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards carousel,cards carousel (variant 1) - card,card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards carousel,cards carousel (variant 1) - card,card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards carousel,cards carousel (variant 1) - card,card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards carousel,cards carousel (variant 2) - card,card (variant 1) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,cards carousel,cards carousel (variant 2) - card,card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,cards carousel,cards carousel (variant 2) - card,card (variant 2) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards carousel,cards carousel (variant 2) - card,card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,cards carousel,cards carousel (variant 2) - card,card (variant 3) - description,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,cards carousel,cards carousel (variant 2) - card,card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct events + text,ct events half (left),event card (variant 1) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct events + text,ct events half (left),event card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct events + text,ct events half (left),event card (variant 2) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct events + text,ct events half (left),event card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct events + text,ct events half (left),event card (variant 3) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct events + text,ct events half (left),event card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct events + text,ct events half (left),event card - date number,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct events + text,ct events half (left),event card - date text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + events,ct events half (right),event card (variant 1) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,ct text + events,ct events half (right),event card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,ct text + events,ct events half (right),event card (variant 2) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + events,ct events half (right),event card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,ct text + events,ct events half (right),event card (variant 3) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,ct text + events,ct events half (right),event card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct text + events,ct events half (right),event card - date number,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,ct text + events,ct events half (right),event card - date text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events grid,events grid - card,event card (variant 1) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,events grid,events grid - card,event card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,events grid,events grid - card,event card (variant 2) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events grid,events grid - card,event card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events grid,events grid - card,event card (variant 3) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events grid,events grid - card,event card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events grid,events grid - card,event card - date number,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events grid,events grid - card,event card - date text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,events carousel,events carousel (variant 1) - heading,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,events carousel,events carousel (variant 2) - heading,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,events carousel,events carousel (variant 1) - button text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
button a,events carousel,events carousel (variant 2) - button text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events carousel,events carousel (variant 1) - card,event card (variant 1) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,events carousel,events carousel (variant 1) - card,event card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,events carousel,events carousel (variant 1) - card,event card (variant 2) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events carousel,events carousel (variant 1) - card,event card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events carousel,events carousel (variant 1) - card,event card (variant 3) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events carousel,events carousel (variant 1) - card,event card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events carousel,events carousel (variant 1) - card,event card - date number,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events carousel,events carousel (variant 1) - card,event card - date text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events carousel,events carousel (variant 2) - card,event card (variant 1) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,events carousel,events carousel (variant 2) - card,event card (variant 1) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,events carousel,events carousel (variant 2) - card,event card (variant 2) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events carousel,events carousel (variant 2) - card,event card (variant 2) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events carousel,events carousel (variant 2) - card,event card (variant 3) - time,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events carousel,events carousel (variant 2) - card,event card (variant 3) - title,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events carousel,events carousel (variant 2) - card,event card - date number,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events carousel,events carousel (variant 2) - card,event card - date text,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events list,events list (variant 1) - date number,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events list,events list (variant 1) - date text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events list,events list (variant 1) - time,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,events list,events list (variant 1) - title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events list,events list (variant 2) - date number,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events list,events list (variant 2) - date text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy a,events list,events list (variant 2) - time,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5a,events list,events list (variant 2) - title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 5b,events list,events list (variant 2) - featured title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events featured,events-featured full-width (variant 1) - date number,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
?,events featured,events-featured full-width (variant 1) - date text,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
heading 2a,events featured,events-featured full-width (variant 1) - title,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
body copy b,events featured,events-featured full-width (variant 1) - description,,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,Not started,,Not started,Not started,,
